IdCliente;Edad;Actividad Laboral;Estado Civil;Nivel Educacional;Tiene Mora;Saldo Medio Anual;Tiene Crédito Hipotecario;Tiene Crédito de Consumo;Medio de Contacto Preferente;Contactos con su Ejecutivo;Tiene Inversiones
1;88;Jubilado;Divorciado;Universitario;No;2282000;No;No;Fono Particular;0;Si
2;93;Jubilado;Casado;Enseñanza Media;No;0;No;No;Fono Particular;0;No
3;91;Jubilado;Divorciado;Universitario;No;1234000;No;No;Celular;0;No
4;90;Jubilado;Casado;Técnico Profesional;No;775000;No;No;Celular;7;Si
5;90;Jubilado;Casado;Técnico Profesional;No;775000;No;No;Celular;9;Si
6;89;Jubilado;Casado;Técnico Profesional;No;775000;No;No;Celular;0;Si
7;89;Jubilado;Casado;Técnico Profesional;No;775000;No;No;Celular;3;Si
8;87;Jubilado;Divorciado;Enseñanza Media;No;1000;No;No;Celular;0;No
9;87;Jubilado;Divorciado;Universitario;No;712000;No;No;Fono Particular;0;Si
10;83;Jubilado;Casado;Universitario;No;553000;No;No;Fono Particular;0;No
11;87;Jubilado;Casado;Enseñanza Básica;No;0;No;No;Fono Particular;0;No
12;87;Jubilado;Divorciado;Universitario;No;1323000;No;No;Fono Particular;1;No
13;85;Jubilado;Casado;Universitario;No;433000;No;No;Fono Particular;1;No
14;86;Jubilado;Casado;Universitario;No;648000;No;No;Fono Particular;0;No
15;80;Jubilado;Divorciado;Universitario;No;6746000;No;No;Fono Particular;0;Si
16;80;Jubilado;Casado;Universitario;No;230000;No;No;Celular;0;No
17;84;Jubilado;Casado;Universitario;No;433000;No;No;Fono Particular;0;No
18;82;Jubilado;Casado;Universitario;No;2190000;No;No;Fono Particular;0;Si
19;77;Jubilado;Casado;Universitario;No;5236000;No;No;Fono Particular;0;Si
20;76;Jubilado;Casado;Universitario;No;1817000;No;No;Celular;0;No
21;84;Jubilado;Casado;Universitario;No;1503000;No;No;Fono Particular;1;No
22;84;Jubilado;Casado;Enseñanza Básica;No;0;No;No;Celular;0;No
23;82;Jubilado;Soltero;Universitario;No;614000;No;No;Fono Particular;0;Si
24;84;Jubilado;Divorciado;Enseñanza Básica;No;0;No;No;Fono Particular;0;No
25;80;Jubilado;Divorciado;Técnico Profesional;No;157000;No;No;Fono Particular;0;No
26;80;Jubilado;Casado;Universitario;No;1255000;No;No;Celular;4;No
27;80;Jubilado;Casado;Universitario;No;1255000;No;No;Fono Particular;3;Si
28;75;Jubilado;Casado;Enseñanza Básica;No;98000;No;No;Celular;0;No
29;75;Jubilado;Casado;Técnico Profesional;No;1934000;No;No;Fono Particular;0;No
30;79;Jubilado;Casado;Universitario;No;1255000;No;No;Celular;0;Si
31;83;Jubilado;Casado;Universitario;No;12114000;No;No;Fono Particular;0;Si
32;75;Jubilado;Divorciado;Universitario;No;7613000;No;No;Celular;0;Si
33;76;Jubilado;Casado;Universitario;No;81204000;No;No;Fono Particular;3;Si
34;82;Jubilado;Divorciado;Universitario;No;639000;No;No;Fono Particular;0;Si
35;82;Jubilado;Divorciado;Universitario;No;2619000;No;No;Fono Particular;2;No
36;76;Jubilado;Divorciado;Universitario;No;1680000;No;No;Fono Particular;3;No
37;82;Jubilado;Casado;Universitario;No;4761000;No;No;Fono Particular;3;Si
38;82;Obrero;Casado;Enseñanza Media;No;0;No;No;Fono Particular;0;No
39;81;Jubilado;Casado;Universitario;No;1702000;No;No;Fono Particular;0;No
40;76;Jubilado;Casado;Universitario;No;81204000;No;No;Fono Particular;2;Si
41;82;Jubilado;Casado;Universitario;No;1791000;No;No;Fono Particular;0;No
42;79;Jubilado;Divorciado;Enseñanza Básica;No;20000;No;No;Celular;0;No
43;81;Jubilado;Divorciado;Enseñanza Básica;No;0;No;No;Fono Particular;0;No
44;77;Jubilado;Casado;Técnico Profesional;No;4216000;No;No;Celular;0;No
45;73;Jubilado;Casado;Universitario;No;6236000;No;No;Celular;3;No
46;78;Jubilado;Soltero;Universitario;No;1965000;No;No;Fono Particular;0;Si
47;79;Jubilado;Casado;Universitario;No;425000;No;No;Fono Particular;2;Si
48;81;Jubilado;Divorciado;Universitario;No;2619000;No;No;Fono Particular;0;No
49;73;Jubilado;Casado;Universitario;No;6236000;No;No;Celular;2;No
50;79;Jubilado;Divorciado;Universitario;No;4565000;No;No;Celular;0;No
51;74;Trabajador Dependiente;Casado;Enseñanza Básica;No;2140000;No;No;Celular;8;No
52;77;Trabajador Dependiente;Divorciado;Enseñanza Básica;No;5944000;No;No;Celular;0;No
53;81;Jubilado;Casado;Universitario;No;4761000;No;No;Fono Particular;1;No
54;81;Jubilado;Casado;Enseñanza Media;No;0;No;No;Fono Particular;2;No
55;81;Jubilado;Divorciado;Enseñanza Básica;No;0;No;No;Fono Particular;3;No
56;79;Jubilado;Casado;Universitario;No;425000;No;No;Fono Particular;1;Si
57;80;Jubilado;Soltero;Universitario;No;3349000;No;No;Fono Particular;0;No
58;81;Jubilado;Casado;Universitario;No;4761000;No;No;Fono Particular;0;Si
59;73;Jubilado;Divorciado;Universitario;No;1097000;No;No;Fono Particular;0;Si
60;81;Jubilado;Casado;Enseñanza Media;No;0;No;No;Celular;0;No
61;80;Jubilado;Divorciado;Enseñanza Básica;No;46000;No;No;Celular;0;No
62;73;Jubilado;Casado;Universitario;No;6236000;No;No;Celular;0;No
63;79;Jubilado;Casado;Universitario;No;425000;No;No;Fono Particular;0;No
64;73;Trabajador Dependiente;Casado;Enseñanza Básica;No;2140000;No;No;Fono Particular;0;No
65;76;Jubilado;Casado;Técnico Profesional;No;211000;No;No;Fono Particular;0;No
66;80;Jubilado;Divorciado;Enseñanza Básica;No;0;No;No;Fono Particular;1;No
67;72;Jubilado;Casado;Universitario;No;278000;No;No;Celular;0;No
68;72;Jubilado;Casado;Universitario;No;8603000;No;No;Celular;0;Si
69;74;Jubilado;Divorciado;Universitario;No;1419000;No;No;Fono Particular;0;No
70;76;Trabajador Dependiente;Divorciado;Enseñanza Básica;No;1381000;No;No;Celular;1;No
71;80;Jubilado;Divorciado;Enseñanza Básica;No;0;No;No;Celular;1;No
72;80;Jubilado;Casado;Universitario;No;243000;No;No;Celular;2;No
73;76;Trabajador Dependiente;Divorciado;Enseñanza Básica;No;1381000;No;No;Celular;4;Si
74;76;Jubilado;Casado;Enseñanza Media;No;121000;No;No;Fono Particular;0;No
75;79;Jubilado;Divorciado;Universitario;No;928000;No;No;Fono Particular;3;No
76;80;Jubilado;Casado;Enseñanza Media;No;0;No;No;Fono Particular;0;No
77;74;Jubilado;Casado;Universitario;No;276000;No;No;Fono Particular;0;No
78;80;Técnico;Divorciado;Técnico Profesional;No;0;No;No;Fono Particular;0;No
79;76;Jubilado;Casado;Universitario;No;103000;No;No;Celular;0;No
80;72;Jubilado;Casado;Universitario;No;8603000;No;No;Celular;1;Si
81;76;Trabajador Dependiente;Divorciado;Enseñanza Básica;No;1381000;No;No;Celular;0;No
82;80;Jubilado;Divorciado;Universitario;No;0;No;No;Fono Particular;0;No
83;79;Jubilado;Casado;Universitario;No;5220000;No;No;Fono Particular;2;Si
84;79;Jubilado;Casado;Universitario;No;243000;No;No;Celular;0;No
85;71;Jubilado;Divorciado;Técnico Profesional;No;9224000;No;No;Fono Particular;0;No
86;76;Jubilado;Casado;Enseñanza Media;No;93000;No;No;Celular;0;No
87;77;Jubilado;Divorciado;Universitario;No;452000;No;No;Fono Particular;0;Si
88;73;Jubilado;Divorciado;Universitario;No;519000;No;No;Fono Particular;0;No
89;79;Jubilado;Divorciado;Técnico Profesional;No;0;No;No;Fono Particular;0;No
90;79;Jubilado;Divorciado;Enseñanza Básica;No;0;No;No;Fono Particular;0;No
91;78;Jubilado;Casado;Enseñanza Media;No;1000;No;No;Celular;0;No
92;79;Jubilado;Casado;Enseñanza Básica;No;0;No;No;Fono Particular;0;No
93;78;Jubilado;Divorciado;Universitario;No;4321000;No;No;Celular;0;No
94;75;Jubilado;Divorciado;Universitario;No;949000;No;No;Celular;1;Si
95;77;Jubilado;Casado;Universitario;No;1154000;No;No;Fono Particular;0;Si
96;79;Jubilado;Casado;Universitario;No;243000;No;No;Celular;1;No
97;79;Jubilado;Divorciado;Universitario;No;0;No;No;Celular;0;No
98;79;Trabajador Dependiente;Casado;Universitario;No;0;No;No;Celular;0;No
99;74;Jubilado;Casado;Universitario;No;122000;No;No;Fono Particular;0;No
100;76;Jubilado;Casado;Universitario;No;155000;No;No;Fono Particular;2;No
101;72;Jubilado;Casado;Universitario;No;3669000;No;No;Celular;0;No
102;77;Jubilado;Casado;Universitario;No;1468000;No;No;Celular;0;Si
103;71;Jubilado;Casado;Universitario;No;997000;No;No;Celular;3;Si
104;77;Jubilado;Divorciado;Universitario;No;235000;No;No;Celular;3;No
105;72;Jubilado;Casado;Universitario;No;8304000;No;No;Fono Particular;11;No
106;74;Trabajador Dependiente;Casado;Universitario;No;499000;No;No;Fono Particular;4;No
107;76;Jubilado;Divorciado;Universitario;No;5861000;No;No;Fono Particular;0;No
108;76;Jubilado;Casado;Universitario;No;155000;No;No;Fono Particular;3;No
109;78;Jubilado;Casado;Universitario;No;594000;No;No;Fono Particular;0;No
110;74;Jubilado;Casado;Universitario;No;1021000;No;No;Fono Particular;0;No
111;71;Jubilado;Casado;Universitario;No;1861000;No;No;Fono Particular;0;No
112;72;Jubilado;Casado;Universitario;No;8304000;No;No;Fono Particular;13;Si
